Source.Name;Marca temporal;Nombre del Encuestador SE1;Nombre de la empresa;1. Tamaño de la empresa:;2. Sector o industria principal de la empresa (seleccione una opción):  ;* Especificar otra industria o sector;3. ¿Qué tipo de perfiles profesionales son los más demandados por su empresa actualmente?  ;* Especificar otro perfil;4. ¿Cuántos puestos de trabajo necesitan cubrir en los próximos 12 meses?   ;5. ¿Cuáles son las principales dificultades que enfrenta para cubrir las vacantes en su empresa?  ;* Especificar otras dificultades;6. ¿Qué proporción de sus trabajadores considera que tiene suficiente formación?;7. ¿En qué medida la falta de personal cualificado cree que afecta al crecimiento de su empresa?  ;8. ¿A su empresa le interesaría realizar programas de formación o programas de inserción laboral?  
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;18/02/2025 11:45;;Semillería Ramon;Micro;Comercio;;Comerciales;;Ninguno;Falta de candidatos cualificados;;Una minoría;En gran medida;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;18/02/2025 11:57;;Psicología integral ;Pequeña;Salud;;Técnicos;;Ninguno;Falta de experiencia;;La mayoría;Poco;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;18/02/2025 12:08;;Los hermanos alimentación ;Micro;Comercio;;Otro *;Dependienta ;Ninguno;Falta de candidatos cualificados;;Una minoría;Poco;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;19/02/2025 10:31;;Kontimueble;Micro;Comercio;;Comerciales;Montaje;Ninguno;Falta de experiencia;;Una minoría;En gran medida;Sí
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;19/02/2025 10:39;;Mister mint;Micro;Servicios;;Técnicos;;Ninguno;Falta de experiencia;;Aproximadamente la mitad;En gran medida;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;19/02/2025 10:53;;Estanco Diana;Micro;Comercio;;Otro *;Depe;Ninguno;Falta de candidatos cualificados;;Casi todos;Nada;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;19/02/2025 10:57;;Candela Arias;Micro;Servicios;;Técnicos;;Ninguno;Falta de experiencia;;Casi todos;En gran medida;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;19/02/2025 11:10;;Bar triana;Pequeña;Hostelería;;Otro *;Camareros ;Ninguno;Falta de experiencia;;Aproximadamente la mitad;Nada;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;19/02/2025 11:47;;Ecortiga SCA;Pequeña;Comercio;;Otro *;Dependienta ;Ninguno;Falta de experiencia;;Casi todos;En cierta medida;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;19/02/2025 12:19;;Vita salud;Pequeña;Servicios;;Técnicos;;Ninguno;Falta de candidatos cualificados;;Casi todos;En gran medida;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;19/02/2025 13:25;;;Micro;Servicios;;Técnicos;;Ninguno;Falta de candidatos cualificados;;Casi todos;En gran medida;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;19/02/2025 13:30;;Kiosko arcoiris;Micro;Comercio;;Otro *;Dependienta ;Ninguno;Falta de experiencia;;Una minoría;Nada;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;19/02/2025 13:36;;Sietevaper;Micro;Comercio;;Otro *;Dependienta ;Ninguno;Falta de candidatos cualificados;;Una minoría;En gran medida;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;19/02/2025 14:09;;Papelería Hechu;Pequeña;Comercio;;Otro *;Dependienta ;Ninguno;Competencia salarial;;Casi todos;Nada;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;20/02/2025 9:54;;Estanco Francisco Gil Moreno ;Pequeña;Comercio;;Comerciales;;Ninguno;Falta de experiencia;;Casi todos;En cierta medida;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;20/02/2025 9:57;;Floristería ;Micro;Comercio;;Comerciales;;Ninguno;Falta de candidatos cualificados;;La mayoría;En gran medida;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;20/02/2025 10:02;;Librería Tagore;Pequeña;Comercio;;Otro *;Dependienta ;Ninguno;Falta de experiencia;;Casi todos;Poco;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;20/02/2025 10:08;;Obrador Artesano Compostela;Micro;Comercio;;Comerciales;;Ninguno;Falta de experiencia;Falta de dedicacion;Casi todos;En gran medida;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;20/02/2025 10:20;;Vístete Hogar;Pequeña;Comercio;;Comerciales;;1-5;;No quieren trabajar;Casi todos;En gran medida;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;20/02/2025 10:44;;Serviphone;Pequeña;Comercio;;Técnicos;;Ninguno;Falta de experiencia;;La mayoría;Nada;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;20/02/2025 11:15;;Manuel lobato saborido;Pequeña;;;Comerciales;;Ninguno;Falta de experiencia;;Casi todos;Poco;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;20/02/2025 11:20;;Joyería Rubi;Micro;Comercio;;Comerciales;;Ninguno;Falta de candidatos cualificados;;Casi todos;En gran medida;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;20/02/2025 11:24;;Aurimplat;Micro;Comercio;;Comerciales;;1-5;Falta de candidatos cualificados;;Casi todos;En gran medida;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;20/02/2025 11:28;;Congelados Don hielo;Pequeña;Comercio;;Otro *;Dependienta ;Ninguno;Otras *;No hay ayudas del estado para contratacion;Casi todos;En cierta medida;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;20/02/2025 11:33;;Calzados Blanca;Micro;Comercio;;Comerciales;;Ninguno;Falta de candidatos cualificados, Falta de experiencia;;Casi todos;En cierta medida;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;20/02/2025 11:45;;Frutería del campo a la mesa;Micro;Comercio;;Comerciales;;Ninguno;Falta de experiencia;;Casi todos;Nada;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;20/02/2025 11:52;;Peluquería King;Pequeña;Servicios;;Comerciales;;Ninguno;Falta de candidatos cualificados;;Casi todos;En gran medida;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;20/02/2025 12:05;;Alcomark;Pequeña;Comercio;;Comerciales;;Ninguno;Falta de candidatos cualificados;;Una minoría;En gran medida;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;20/02/2025 12:20;;Salón de belleza stilo;Micro;Servicios;;Técnicos;;Ninguno;Falta de candidatos cualificados;;Casi todos;En gran medida;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;20/02/2025 12:39;;Cristina moreno ;Micro;Servicios;;Técnicos;;Ninguno;Falta de candidatos cualificados;;Casi todos;En gran medida;No
SE32-MARIA JESUS GARCIA RUIZ (respuestas).xlsx;20/02/2025 12:53;;Papelería las tendillas;Micro;Comercio;;Comerciales;;Ninguno;Falta de candidatos cualificados;;La mayoría;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;14/02/2025 8:58;;Tierra mar;Grande;Hostelería;;Otro *;Camareros;Ninguno;Otras *;No quieren trabajar;Aproximadamente la mitad;En cierta medida;Sí
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;14/02/2025 9:09;;Ralarsa;Pequeña;Otros *;Talleres;Técnicos;;Ninguno;Falta de candidatos cualificados;;Aproximadamente la mitad;En cierta medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;14/02/2025 9:38;;Farmacia Garcibailador;Pequeña;Salud;;Técnicos;;Ninguno;Falta de candidatos cualificados;;La mayoría;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;14/02/2025 9:39;;Farmacia Garcibailador;Pequeña;Salud;;Técnicos;;Ninguno;Falta de candidatos cualificados;;La mayoría;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;14/02/2025 9:39;;Farmacia Garcibailador;Pequeña;Salud;;Técnicos;;Ninguno;Falta de candidatos cualificados;;La mayoría;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;14/02/2025 9:50;;Peluqueria carmen camacho;Micro;Servicios;;Otro *;Servicios de peluqueria;Ninguno;Falta de experiencia;;Una minoría;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;14/02/2025 9:59;;Desavio Gloria;Mediana;Comercio;;Técnicos;;Ninguno;Falta de candidatos cualificados;;Aproximadamente la mitad;En cierta medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;14/02/2025 10:09;;Recambios Fermo;Pequeña;Comercio;;Comerciales;;Ninguno;Otras *;Autonomos;La mayoría;Nada;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;14/02/2025 10:22;;Mundo scooter;Pequeña;Comercio;;Técnicos;;Ninguno;Falta de candidatos cualificados;;La mayoría;En cierta medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;14/02/2025 10:23;;Scooter planet;Pequeña;Comercio;;Técnicos;;Ninguno;Falta de candidatos cualificados;;La mayoría;En cierta medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;14/02/2025 10:28;;Farmacia Santa Barbara;Pequeña;Salud;;Técnicos;;1-5;Falta de experiencia;;Casi todos;En cierta medida;Sí
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;14/02/2025 10:43;;Alejandra jimenez;Micro;Servicios;;Otro *;Peluquera canina;Ninguno;Falta de candidatos cualificados;;La mayoría;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;14/02/2025 10:53;;New bell stetic;Micro;Servicios;;Otro *;Peluqueras;Ninguno;Otras *;No se presentan;La mayoría;En gran medida;Sí
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;14/02/2025 11:01;;Fruteria abdul;Micro;Comercio;;Otro *;Dependienta;Ninguno;Falta de experiencia;;La mayoría;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;14/02/2025 11:23;;Polvillo Claudia y Sergio;Micro;Comercio;;Comerciales;;1-5;Falta de candidatos cualificados;;Una minoría;En cierta medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;14/02/2025 11:34;;Papeleria vela;Pequeña;Comercio;;Otro *;Dependienta;1-5;Falta de candidatos cualificados;;Aproximadamente la mitad;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;14/02/2025 11:40;;Amazon Berry;Micro;Otros *;Comida;Comerciales;;Ninguno;Falta de experiencia;;Casi todos;Nada;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;14/02/2025 12:02;;Cadaboca;Micro;Salud;;Técnicos;;Ninguno;Falta de experiencia;;La mayoría;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;14/02/2025 12:30;;Metodoo  inmobiliaria ;Pequeña;;;Comerciales;;Ninguno;Falta de candidatos cualificados;;Casi todos;En cierta medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;14/02/2025 12:43;;Fontaneria hermanos raya;Micro;;;Otro *;Fontaneros;Ninguno;Falta de candidatos cualificados;;Casi todos;En gran medida;Sí
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;14/02/2025 12:48;;Calzado Narvaez Merino;Micro;Comercio;;Otro *;Vendedor;Ninguno;Otras *;Falta de interes;La mayoría;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;14/02/2025 12:54;;Karla zapatos;Micro;Comercio;;Otro *;Vendedores;Ninguno;Competencia salarial, Falta de experiencia;;La mayoría;Nada;Sí
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;14/02/2025 13:14;;Sevilla inmoviliaria;Micro;Otros *;Inmoviliaria;Comerciales;;Ninguno;Falta de candidatos cualificados;;La mayoría;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;17/02/2025 9:06;;Pan polvillo;Micro;Comercio;;Comerciales;;Ninguno;Competencia salarial;;Casi todos;Nada;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;17/02/2025 9:13;; Cristal Este;Micro;Comercio;;Otro *;Cristalero;Ninguno;Falta de experiencia;;Aproximadamente la mitad;En cierta medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;17/02/2025 9:26;;Heladeria  La Estrella ;Pequeña;Hostelería;;Otro *;Carmerera;1-5;Falta de candidatos cualificados;;Aproximadamente la mitad;En cierta medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;17/02/2025 9:49;;Inmobiliaria Sevilla 2000;Mediana;Comercio;;Comerciales;;Ninguno;Falta de experiencia;;Casi todos;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;17/02/2025 10:17;;Diego cortes ruiz Bufete;Micro;Servicios;;Comerciales;;Ninguno;Competencia salarial;;La mayoría;Nada;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;17/02/2025 10:47;;La merceria de Maribel;Pequeña;;;Comerciales;;Ninguno;Falta de experiencia;;La mayoría;En cierta medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;17/02/2025 10:55;;Englishconnection;Pequeña;Servicios;;Comerciales;;Ninguno;Falta de candidatos cualificados;;La mayoría;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;17/02/2025 11:09;;La Floristeria;Pequeña;Servicios;;Otro *;Florista;1-5;Otras *;Ayudas del gobierno;Casi todos;En gran medida;Sí
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;17/02/2025 11:13;;Pelayo;Micro;Servicios;;Comerciales;;Ninguno;Falta de experiencia;;La mayoría;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;17/02/2025 11:18;;Joyeria Atlantico;Micro;Comercio;;Comerciales;;Ninguno;Otras *;Los impuestos tan alto;La mayoría;Poco;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;17/02/2025 11:35;;Jamoneria;Micro;Otros *;Alimentación ;Otro *;Cortador de jamon;Ninguno;Otras *;Buen vendedor;La mayoría;Nada;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;17/02/2025 11:45;;El marco;Pequeña;Comercio;;Comerciales;;Ninguno;Falta de candidatos cualificados;;La mayoría;Poco;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;17/02/2025 11:54;;La cadena;Mediana;;;Otro *;Dependiente;1-5;Falta de candidatos cualificados;;La mayoría;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;17/02/2025 12:07;;CRDENTAL;Mediana;Salud;;Otro *;Higiene;Ninguno;Falta de experiencia;;La mayoría;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;17/02/2025 12:16;;Colection;Pequeña;Comercio;;Otro *;Vendedora;Ninguno;Falta de experiencia;;La mayoría;Poco;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;17/02/2025 12:26;;Smoke shisha;Pequeña;Comercio;;Comerciales;;1-5;Otras *;Don de gente;Casi todos;Poco;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;17/02/2025 12:33;;Gentlemen’s saloon;Micro;Otros *;Peluqueria barberia;Otro *;Peluquero ;Ninguno;Falta de candidatos cualificados;;La mayoría;En cierta medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;17/02/2025 12:49;;Glamour Style;Pequeña;Comercio;;Otro *;Dependienta;Ninguno;Falta de experiencia;;Casi todos;En gran medida;Sí
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;17/02/2025 13:24;;El detalle;Micro;Comercio;;Comerciales;;Ninguno;Competencia salarial;;La mayoría;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;17/02/2025 13:41;;Zapateria Peques;Pequeña;Comercio;;Otro *;Dependienta;1-5;Otras *;Faltas de ganas de trabajar;La mayoría;En cierta medida;Sí
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;18/02/2025 9:46;;Casa navio bar;Pequeña;Hostelería;;Otro *;Camareros;1-5;Falta de candidatos cualificados;;Casi todos;En cierta medida;Sí
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;18/02/2025 10:00;;Farmacia;Pequeña;Salud;;Técnicos;;Ninguno;Falta de candidatos cualificados;;La mayoría;En cierta medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;18/02/2025 10:20;;ADe intervencion;Micro;Salud;;Otro *;Sicologos;Ninguno;Falta de candidatos cualificados;;La mayoría;En cierta medida;Sí
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;18/02/2025 11:29;;Pescaderia Joaquin;Micro;Comercio;;Otro *;Pescadero;Ninguno;Falta de candidatos cualificados;;La mayoría;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;18/02/2025 11:49;;Aportuviaje;Micro;Turismo;;Comerciales;;Ninguno;Competencia salarial;;La mayoría;En cierta medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;18/02/2025 11:57;;Panaderia cordero;Grande;Otros *;Panaderia;Otro *;Dependiente;Ninguno;Competencia salarial, Otras *;Como hay muchas ayudas la gente no quiere trabajar;Casi todos;Nada;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;18/02/2025 12:02;;Alfileres de colores;Pequeña;Servicios;;Otro *;Modisto;Ninguno;Otras *;No hay quien quiera trabajar;La mayoría;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;18/02/2025 12:15;;Alimentacion Albahaca;Pequeña;Comercio;;Otro *;Dependienta;1-5;Competencia salarial;;Una minoría;En cierta medida;Sí
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;18/02/2025 12:29;;Hiper peluqueria;Micro;Comercio;;Comerciales;;Ninguno;Competencia salarial;;La mayoría;Poco;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;19/02/2025 10:30;;Mampa Factori;Pequeña;Comercio;;Comerciales;;Ninguno;Competencia salarial;;La mayoría;Poco;Sí
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;19/02/2025 10:37;;Mas life;Mediana;Tecnología;;Comerciales;;6-10;Falta de candidatos cualificados, Competencia salarial, Falta de experiencia;;La mayoría;Poco;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;19/02/2025 10:54;;El gancho de maria;Pequeña;Comercio;;Comerciales;;Ninguno;Competencia salarial;;La mayoría;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;19/02/2025 11:05;;Todo pinturas;Grande;Servicios;;Otro *;Dependientes;Ninguno;Falta de candidatos cualificados;;Casi todos;En gran medida;Sí
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;19/02/2025 11:11;;Estivet clinica veterinaria;Pequeña;Salud;;Técnicos;;Ninguno;Falta de candidatos cualificados, Competencia salarial, Falta de experiencia;;Casi todos;Poco;Sí
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;19/02/2025 11:45;;BHM Bicicletas;Micro;Comercio;;Técnicos;;1-5;Falta de candidatos cualificados, Competencia salarial, Falta de experiencia;;Casi todos;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;19/02/2025 11:53;;Farmacia Lidia Rodriguez;Micro;Salud;;Otro *;Farmaceuticos;Ninguno;Falta de experiencia;;La mayoría;En gran medida;Sí
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;19/02/2025 13:25;;Gremio Juali;Pequeña;Otros *;Belleza;Otro *;Peluqueras;Ninguno;Falta de experiencia;;La mayoría;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;19/02/2025 13:31;;Don mendo;Micro;Comercio;;Comerciales;;Ninguno;Falta de experiencia;;Aproximadamente la mitad;En cierta medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;19/02/2025 13:44;;Jabonoliva;Pequeña;Salud;;Técnicos;;Ninguno;Falta de candidatos cualificados;;La mayoría;En cierta medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;19/02/2025 13:55;;El patron;Pequeña;Hostelería;;Otro *;Repartidores;1-5;Otras *;Falta de ganas;Casi todos;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;19/02/2025 14:03;;Panaderia portillo;Pequeña;Comercio;;Comerciales;;Ninguno;Falta de experiencia;;Casi todos;En gran medida;Sí
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;20/02/2025 9:48;;Carniceria Manolo;Micro;Comercio;;Técnicos;;Ninguno;Falta de candidatos cualificados;;La mayoría;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;20/02/2025 9:53;;Bar salon recreativo;Micro;Hostelería;;Comerciales;;Ninguno;Falta de candidatos cualificados, Falta de experiencia;;La mayoría;Nada;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;20/02/2025 10:05;;Da mas;Grande;Comercio;;Comerciales;;Ninguno;Falta de candidatos cualificados, Falta de experiencia;;La mayoría;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;20/02/2025 10:23;;Version profesional;Pequeña;Comercio;;Comerciales;;Ninguno;Otras *;Servicio;Casi todos;Poco;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;20/02/2025 10:42;;Ecoferreteria.com;Micro;Servicios;;Comerciales;;Ninguno;Falta de experiencia;;Una minoría;En gran medida;Sí
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;20/02/2025 10:49;;Shopping;Grande;Comercio;;Otro *;Dependienta;Ninguno;Competencia salarial;;Una minoría;Poco;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;20/02/2025 11:02;;Bazar casablanca;Mediana;Comercio;;Comerciales;;Ninguno;Falta de experiencia;;La mayoría;En cierta medida;Sí
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;20/02/2025 11:10;;Ortopedia alcosa;Pequeña;Salud;;Técnicos;;1-5;Falta de candidatos cualificados, Falta de experiencia;;Casi todos;En gran medida;Sí
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;20/02/2025 11:18;;Las tortillas de eva;Pequeña;Comercio;;Otro *;Ayud de cicina;Ninguno;Otras *;Ganas de trabajar;La mayoría;En gran medida;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;20/02/2025 11:23;;Zapateria M &R;Pequeña;;;Otro *;Dependienta;Ninguno;Falta de candidatos cualificados;;La mayoría;En cierta medida;Sí
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;20/02/2025 11:27;;Entre algodones;Pequeña;Comercio;;Otro *;Dependienta;Ninguno;Falta de candidatos cualificados, Competencia salarial, Falta de experiencia;;Casi todos;Poco;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;20/02/2025 11:34;;Semilleria carioca;Micro;Comercio;;Comerciales;;Ninguno;Falta de candidatos cualificados, Falta de experiencia;;Casi todos;Nada;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;20/02/2025 11:54;;La buena miga;Micro;Otros *;Panaderia;Otro *;Dependienta;1-5;Competencia salarial;;Casi todos;Poco;Sí
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;20/02/2025 12:39;;Polvillo;Grande;Comercio;;Otro *;Dependienta;1-5;Falta de experiencia;;La mayoría;En cierta medida;Sí
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;20/02/2025 12:49;;Peluqueria y estetica;Pequeña;Servicios;;Técnicos;;Ninguno;Falta de experiencia;;La mayoría;Poco;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;20/02/2025 12:54;;Ferretería alcosa;Micro;Comercio;;Otro *;Dependiente;Ninguno;Falta de experiencia;;Casi todos;Nada;No
SE33-ROBLEDO_GARCIA RUIZ (respuestas).xlsx;20/02/2025 13:12;;Autoescuela Pedro;Pequeña;Servicios;;Otro *;Profesores;Ninguno;Falta de candidatos cualificados;;La mayoría;En gran medida;No
SE34-ROSARIO GARCIA RUIZ (respuestas).xlsx;14/02/2025 9:19;;Farmacia ;Mediana;Salud;;Técnicos;;Ninguno;Otras *;Horarios ;La mayoría;En gran medida;No
SE34-ROSARIO GARCIA RUIZ (respuestas).xlsx;14/02/2025 9:39;;Auto recambios Barea;Mediana;Comercio;;Comerciales;;Ninguno;Falta de experiencia;;Aproximadamente la mitad;En cierta medida;No
SE34-ROSARIO GARCIA RUIZ (respuestas).xlsx;14/02/2025 9:46;;Giralda inmobiliaria ;Pequeña;Servicios;;Comerciales;;Ninguno;Falta de experiencia;;Casi todos;Poco;No
SE34-ROSARIO GARCIA RUIZ (respuestas).xlsx;14/02/2025 9:52;;Farmacia Japón 26;Pequeña;Salud;;Técnicos;;Ninguno;Falta de candidatos cualificados;;La mayoría;Nada;No
SE34-ROSARIO GARCIA RUIZ (respuestas).xlsx;14/02/2025 10:07;;Joyería F.L. Caceres;Pequeña;Comercio;;Comerciales;;Ninguno;Falta de candidatos cualificados;;La mayoría;En gran medida;No
SE34-ROSARIO GARCIA RUIZ (respuestas).xlsx;14/02/2025 10:35;;Silver Telecom Sur;Micro;Tecnología;;Técnicos;;Ninguno;Falta de candidatos cualificados;;La mayoría;En gran medida;No
SE34-ROSARIO GARCIA RUIZ (respuestas).xlsx;14/02/2025 10:50;;Casa Ortiz Bar;Grande;Hostelería;;Otro *;Camarero ;Más de 10;Falta de candidatos cualificados;;Aproximadamente la mitad;En cierta medida;Sí
SE34-ROSARIO GARCIA RUIZ (respuestas).xlsx;14/02/2025 10:53;;Espiga dorada ;Pequeña;Comercio;;Otro *;Dependienta ;Ninguno;Competencia salarial;;Aproximadamente la mitad;En gran medida;No
SE34-ROSARIO GARCIA RUIZ (respuestas).xlsx;14/02/2025 11:11;;Estefanía París ;Micro;Servicios;;Otro *;Profesionales;Ninguno;Falta de experiencia;;La mayoría;Nada;No
SE34-ROSARIO GARCIA RUIZ (respuestas).xlsx;14/02/2025 11:13;;Herbolario del dr.kou;Micro;Comercio;;Otro *;Empresarial ;Ninguno;Competencia salarial;;La mayoría;Nada;No
SE34-ROSARIO GARCIA RUIZ (respuestas).xlsx;14/02/2025 11:32;;El Indio Vapeador;Micro;Servicios;;Comerciales;;Ninguno;Competencia salarial;;Casi todos;En cierta medida;No
SE34-ROSARIO GARCIA RUIZ (respuestas).xlsx;14/02/2025 11:52;;Ferretería Su Equi Sur;Mediana;Servicios;;Técnicos;;Ninguno;Falta de experiencia;;Casi todos;Nada;No
SE34-ROSARIO GARCIA RUIZ (respuestas).xlsx;14/02/2025 12:25;;Entre pueblo;Mediana;Otros *;Industrial cárnica ;Comerciales;;1-5;Falta de candidatos cualificados;;Casi todos;En gran medida;Sí
SE34-ROSARIO GARCIA RUIZ (respuestas).xlsx;14/02/2025 12:39;;Famyli park;Mediana;Hostelería;;Otro *;Animador;Ninguno;Competencia salarial;;Casi todos;En gran medida;No
SE34-ROSARIO GARCIA RUIZ (respuestas).xlsx;14/02/2025 13:03;;Lida alimentacion;Pequeña;Comercio;;Comerciales;;Ninguno;Competencia salarial;;Aproximadamente la mitad;En gran medida;No
